Gene Id	FC	GO	GO term	Category	Gene Name	Product
16170	2,837,520,408	ID:GO:0044237	biological process	cellular metabolic process	Il16	interleukin 16
11556	4,131,722,826	ID:GO:0044237	biological process	cellular metabolic process	Adrb3	adrenergic receptor, beta 3
107569	1,402,175,251	ID:GO:0044237	biological process	cellular metabolic process	Nt5c3	5'-nucleotidase, cytosolic III
14359	1,027,700,504	ID:GO:0044237	biological process	cellular metabolic process	Fxr1	fragile X mental retardation gene 1, autosomal homolog
13831	162,699,269	ID:GO:0044237	biological process	cellular metabolic process	Epc1	enhancer of polycomb homolog 1 (Drosophila)
23874	1,416,799,841	ID:GO:0044237	biological process	cellular metabolic process	Farsb	phenylalanyl-tRNA synthetase, beta subunit
56490	101,912,773	ID:GO:0044237	biological process	cellular metabolic process	Zbtb20	zinc finger and BTB domain containing 20
380698	2,215,543,878	ID:GO:0044237	biological process	cellular metabolic process	Obscn	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
13058	1,077,510,985	ID:GO:0044237	biological process	cellular metabolic process	Cybb	cytochrome b-245, beta polypeptide
14912	1,106,597,819	ID:GO:0044237	biological process	cellular metabolic process	Nkx6-2	NK6 homeobox 2
68278	1,505,386,773	ID:GO:0044237	biological process	cellular metabolic process	Ddx39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
67014	0.918270292	ID:GO:0044237	biological process	cellular metabolic process	Mina	myc induced nuclear antigen
15369	0.763319139	ID:GO:0044237	biological process	cellular metabolic process	Hmox2	heme oxygenase (decycling) 2
71361	0.916419621	ID:GO:0044237	biological process	cellular metabolic process	Aifm2	apoptosis-inducing factor, mitochondrion-associated 2
66922	171,459,456	ID:GO:0044237	biological process	cellular metabolic process	Rras2	related RAS viral (r-ras) oncogene homolog 2
269132	1,095,604,414	ID:GO:0044237	biological process	cellular metabolic process	Glt25d2	glycosyltransferase 25 domain containing 2
17722	1,202,675,828	ID:GO:0044237	biological process	cellular metabolic process	ND6	NADH dehydrogenase subunit 6
67087	3,090,238,353	ID:GO:0044237	biological process	cellular metabolic process	Ctnnbip1	catenin beta interacting protein 1
17716	1,030,739,378	ID:GO:0044237	biological process	cellular metabolic process	ND1	NADH dehydrogenase subunit 1
13134	2,109,633,273	ID:GO:0044237	biological process	cellular metabolic process	Dach1	dachshund 1 (Drosophila)
69188	0.871072099	ID:GO:0044237	biological process	cellular metabolic process	Mll5	myeloid/lymphoid or mixed-lineage leukemia 5
18027	1,886,823,329	ID:GO:0044237	biological process	cellular metabolic process	Nfia	nuclear factor I/A
93757	2,032,294,837	ID:GO:0044237	biological process	cellular metabolic process	Immp2l	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)
56632	1,357,671,507	ID:GO:0044237	biological process	cellular metabolic process	Sphk2	sphingosine kinase 2
67155	1,225,087,552	ID:GO:0044237	biological process	cellular metabolic process	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
238276	1,973,143,516	ID:GO:0044237	biological process	cellular metabolic process	Akap5	A kinase (PRKA) anchor protein 5
17719	1,372,406,756	ID:GO:0044237	biological process	cellular metabolic process	ND4	NADH dehydrogenase subunit 4
24086	0.558406325	ID:GO:0044237	biological process	cellular metabolic process	Tlk2	tousled-like kinase 2 (Arabidopsis)
105193	1,786,444,059	ID:GO:0044237	biological process	cellular metabolic process	Nhlrc1	NHL repeat containing 1
12168	1,830,489,279	ID:GO:0044237	biological process	cellular metabolic process	Bmpr2	bone morphogenetic protein receptor, type II (serine/threonine kinase)
229487	2,064,291,557	ID:GO:0044237	biological process	cellular metabolic process	Pet112l	PET112-like (yeast)
17729	2,446,785,468	ID:GO:0044237	biological process	cellular metabolic process	TrnE	tRNA
27207	1,020,783,548	ID:GO:0044237	biological process	cellular metabolic process	Rps11	ribosomal protein S11
56289	161,130,296	ID:GO:0044237	biological process	cellular metabolic process	Rassf1	Ras association (RalGDS/AF-6) domain family member 1
15375	1,516,820,245	ID:GO:0044237	biological process	cellular metabolic process	Foxa1	forkhead box A1
270672	0.579601818	ID:GO:0044237	biological process	cellular metabolic process	Map3k15	mitogen-activated protein kinase kinase kinase 15
67869	1,444,616,683	ID:GO:0044237	biological process	cellular metabolic process	Paip2	polyadenylate-binding protein-interacting protein 2
217166	1,644,364,203	ID:GO:0044237	biological process	cellular metabolic process	Nr1d1	nuclear receptor subfamily 1, group D, member 1
104570	1,502,896,444	ID:GO:0044237	biological process	cellular metabolic process	Smek2	SMEK homolog 2, suppressor of mek1 (Dictyostelium)
15400	1,474,240,319	ID:GO:0044237	biological process	cellular metabolic process	Hoxa3	homeobox A3
101739	1,178,243,844	ID:GO:0044237	biological process	cellular metabolic process	Psip1	PC4 and SFRS1 interacting protein 1
67789	0.757199106	ID:GO:0044237	biological process	cellular metabolic process	Dalrd3	DALR anticodon binding domain containing 3
56532	134,416,524	ID:GO:0044237	biological process	cellular metabolic process	Ripk3	receptor-interacting serine-threonine kinase 3
13056	2,219,933,331	ID:GO:0044237	biological process	cellular metabolic process	Cyb561	cytochrome b-561
71375	1,212,215,446	ID:GO:0044237	biological process	cellular metabolic process	Foxn3	forkhead box N3
20962	0.796028726	ID:GO:0044237	biological process	cellular metabolic process	Sycp3	synaptonemal complex protein 3
19276	2,543,783,787	ID:GO:0044237	biological process	cellular metabolic process	Ptprn2	protein tyrosine phosphatase, receptor type, N polypeptide 2
66108	2,447,446,471	ID:GO:0044237	biological process	cellular metabolic process	Ndufa9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9
17721	0.913595954	ID:GO:0044237	biological process	cellular metabolic process	ND5	NADH dehydrogenase subunit 5
75668	2,058,354,533	ID:GO:0044237	biological process	cellular metabolic process	Rasl10a	RAS-like, family 10, member A
67426	1,478,278,721	ID:GO:0044237	biological process	cellular metabolic process	Adck3	aarF domain containing kinase 3
13107	2,516,499,289	ID:GO:0044237	biological process	cellular metabolic process	Cyp2f2	cytochrome P450, family 2, subfamily f, polypeptide 2
244329	0.527056221	ID:GO:0044237	biological process	cellular metabolic process	Mcph1	microcephaly, primary autosomal recessive 1
55981	0.847740943	ID:GO:0044237	biological process	cellular metabolic process	Pigb	phosphatidylinositol glycan anchor biosynthesis, class B
19023	3,320,751,149	ID:GO:0044237	biological process	cellular metabolic process	Ppef2	protein phosphatase, EF hand calcium-binding domain 2
20454	1,975,317,419	ID:GO:0044237	biological process	cellular metabolic process	St3gal5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
74335	0.562423659	ID:GO:0044237	biological process	cellular metabolic process	Xrcc3	X-ray repair complementing defective repair in Chinese hamster cells 3
672511	161,909,091	ID:GO:0044237	biological process	cellular metabolic process	Rnf213	ring finger protein 213
12409	1,094,914,994	ID:GO:0044237	biological process	cellular metabolic process	Cbr2	carbonyl reductase 2
56736	1,231,451,097	ID:GO:0044237	biological process	cellular metabolic process	Rnf14	ring finger protein 14
223255	0.8241182	ID:GO:0044237	biological process	cellular metabolic process	Stk24	serine/threonine kinase 24
23821	0.657643284	ID:GO:0044237	biological process	cellular metabolic process	Bace1	beta-site APP cleaving enzyme 1
76719	1,466,881,573	ID:GO:0044237	biological process	cellular metabolic process	Kansl1	KAT8 regulatory NSL complex subunit 1
56695	0.42199143	ID:GO:0044237	biological process	cellular metabolic process	Pnkd	paroxysmal nonkinesiogenic dyskinesia
432442	177,200,435	ID:GO:0044237	biological process	cellular metabolic process	Akap7	A kinase (PRKA) anchor protein 7
15531	1,372,851,261	ID:GO:0044237	biological process	cellular metabolic process	Ndst1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1
17717	1,711,522,661	ID:GO:0044237	biological process	cellular metabolic process	ND2	NADH dehydrogenase subunit 2
16653	1,130,532,106	ID:GO:0044237	biological process	cellular metabolic process	Kras	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog
66610	0.503797585	ID:GO:0044237	biological process	cellular metabolic process	Abi3	ABI gene family, member 3
330962	1,364,725,575	ID:GO:0044237	biological process	cellular metabolic process	Ostb	organic solute transporter beta
237336	2,285,605,211	ID:GO:0044237	biological process	cellular metabolic process	Tbpl1	TATA box binding protein-like 1
20845	1,013,073,683	ID:GO:0044237	biological process	cellular metabolic process	Star	steroidogenic acute regulatory protein
102632	2,789,202,818	ID:GO:0044237	biological process	cellular metabolic process	Acad11	acyl-Coenzyme A dehydrogenase family, member 11
71302	1,595,653,573	ID:GO:0044237	biological process	cellular metabolic process	Arhgap26	Rho GTPase activating protein 26
244667	1,430,520,732	ID:GO:0044237	biological process	cellular metabolic process	Disc1	disrupted in schizophrenia 1
140781	2,381,436,251	ID:GO:0044237	biological process	cellular metabolic process	Myh7	myosin, heavy polypeptide 7, cardiac muscle, beta
75388	0.974823968	ID:GO:0044237	biological process	cellular metabolic process	Boll	bol, boule-like (Drosophila)
55936	1,862,134,926	ID:GO:0044237	biological process	cellular metabolic process	Ctps2	cytidine 5'-triphosphate synthase 2
18186	155,177,243	ID:GO:0044237	biological process	cellular metabolic process	Nrp1	neuropilin 1
13090	290,328,207	ID:GO:0044237	biological process	cellular metabolic process	Cyp2b19	cytochrome P450, family 2, subfamily b, polypeptide 19
20624	1,090,150,874	ID:GO:0044237	biological process	cellular metabolic process	Eftud2	elongation factor Tu GTP binding domain containing 2
72962	1,265,636,078	ID:GO:0044237	biological process	cellular metabolic process	Tymp	thymidine phosphorylase
384281	1,091,497,681	ID:GO:0044237	biological process	cellular metabolic process	Gatc	glutamyl-tRNA(Gln) amidotransferase, subunit C homolog (bacterial)
236266	1,447,452,947	ID:GO:0044237	biological process	cellular metabolic process	Alms1	Alstrom syndrome 1
329165	1,222,658,657	ID:GO:0044237	biological process	cellular metabolic process	Abi2	abl-interactor 2
67773	1,258,742,664	ID:GO:0044237	biological process	cellular metabolic process	Kat8	K(lysine) acetyltransferase 8
19285	0.987317897	ID:GO:0044237	biological process	cellular metabolic process	Ptrf	polymerase I and transcript release factor
227331	1,818,333,252	ID:GO:0044237	biological process	cellular metabolic process	Gigyf2	GRB10 interacting GYF protein 2
16162	1,859,173,209	ID:GO:0044237	biological process	cellular metabolic process	Il12rb2	interleukin 12 receptor, beta 2
94214	1,801,816,119	ID:GO:0044237	biological process	cellular metabolic process	Spock2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2
16011	2,410,032,552	ID:GO:0044237	biological process	cellular metabolic process	Igfbp5	insulin-like growth factor binding protein 5
17711	0.894879752	ID:GO:0044237	biological process	cellular metabolic process	CYTB	cytochrome b
67224	1,236,663,362	ID:GO:0044237	biological process	cellular metabolic process	Med29	mediator complex subunit 29
21687	2,713,371,449	ID:GO:0044237	biological process	cellular metabolic process	Tek	endothelial-specific receptor tyrosine kinase
14456	2,858,092,862	ID:GO:0044237	biological process	cellular metabolic process	Gas6	growth arrest specific 6
217578	0.689771208	ID:GO:0044237	biological process	cellular metabolic process	Baz1a	bromodomain adjacent to zinc finger domain 1A
242466	2,686,288,456	ID:GO:0044237	biological process	cellular metabolic process	Zfp462	zinc finger protein 462
77627	5,680,132,731	ID:GO:0044237	biological process	cellular metabolic process	Efcab6	EF-hand calcium binding domain 6
20698	1,163,127,929	ID:GO:0044237	biological process	cellular metabolic process	Sphk1	sphingosine kinase 1
114249	2,636,231,733	ID:GO:0044237	biological process	cellular metabolic process	Npnt	nephronectin
53374	3,454,837,344	ID:GO:0044237	biological process	cellular metabolic process	Chst3	carbohydrate (chondroitin 6/keratan) sulfotransferase 3
231724	0.695949336	ID:GO:0044237	biological process	cellular metabolic process	Rad9b	RAD9 homolog B (S. cerevisiae)
331046	0.539257658	ID:GO:0044237	biological process	cellular metabolic process	Tgm4	transglutaminase 4 (prostate)
13819	1,595,138,114	ID:GO:0044237	biological process	cellular metabolic process	Epas1	endothelial PAS domain protein 1
22375	0.936453861	ID:GO:0044237	biological process	cellular metabolic process	Wars	tryptophanyl-tRNA synthetase
78688	1,559,597,436	ID:GO:0044237	biological process	cellular metabolic process	Nol3	nucleolar protein 3 (apoptosis repressor with CARD domain)
14163	0.90287084	ID:GO:0044237	biological process	cellular metabolic process	Fgd1	FYVE, RhoGEF and PH domain containing 1
20324	143,847,006	ID:GO:0044237	biological process	cellular metabolic process	Sdpr	serum deprivation response
72198	1,070,977,243	ID:GO:0044237	biological process	cellular metabolic process	Skiv2l2	superkiller viralicidic activity 2-like 2 (S. cerevisiae)
19646	100,285,486	ID:GO:0044237	biological process	cellular metabolic process	Rbbp4	retinoblastoma binding protein 4
74320	1,213,816,946	ID:GO:0044237	biological process	cellular metabolic process	Wdr33	WD repeat domain 33
104776	1,290,819,253	ID:GO:0044237	biological process	cellular metabolic process	Aldh6a1	aldehyde dehydrogenase family 6, subfamily A1
17268	1,700,455,526	ID:GO:0044237	biological process	cellular metabolic process	Meis1	Meis homeobox 1
50793	1,225,833,271	ID:GO:0044237	biological process	cellular metabolic process	Orc3	origin recognition complex, subunit 3
66923	1,426,000,349	ID:GO:0044237	biological process	cellular metabolic process	Pbrm1	polybromo 1
272411	3,838,530,119	ID:GO:0044237	biological process	cellular metabolic process	B3gnt6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 (core 3 synthase)
219249	1,905,025,454	ID:GO:0044237	biological process	cellular metabolic process	Tdrd3	tudor domain containing 3
17740	1,050,853,736	ID:GO:0044237	biological process	cellular metabolic process	TrnQ	tRNA
11479	1,296,365,491	ID:GO:0044237	biological process	cellular metabolic process	Acvr1b	activin A receptor, type 1B
22287	2,286,184,976	ID:GO:0044237	biological process	cellular metabolic process	Scgb1a1	secretoglobin, family 1A, member 1 (uteroglobin)
16451	1,840,753,293	ID:GO:0044237	biological process	cellular metabolic process	Jak1	Janus kinase 1
17846	0.824528776	ID:GO:0044237	biological process	cellular metabolic process	Commd1	COMM domain containing 1
20585	171,162,138	ID:GO:0044237	biological process	cellular metabolic process	Hltf	helicase-like transcription factor
14360	1,090,353,804	ID:GO:0044237	biological process	cellular metabolic process	Fyn	Fyn proto-oncogene
21386	2,196,689,612	ID:GO:0044237	biological process	cellular metabolic process	Tbx3	T-box 3
21833	2,614,911,067	ID:GO:0044237	biological process	cellular metabolic process	Thra	thyroid hormone receptor alpha
544696	0.803641177	ID:GO:0044237	biological process	cellular metabolic process	D630037F22Rik	RIKEN cDNA D630037F22 gene
320795	0.931588559	ID:GO:0044237	biological process	cellular metabolic process	Pkn1	protein kinase N1
