Gene Id	FC	GO	GO term	Category	Gene Name	Product
65963	-0.550852798	ID:GO:0043226	cellular component	organelle	Tmem176b	transmembrane protein 176B
29877	-0.940175471	ID:GO:0043226	cellular component	organelle	Hdgfrp3	hepatoma-derived growth factor, related protein 3
225182	-1,118,372,998	ID:GO:0043226	cellular component	organelle	Rbbp8	retinoblastoma binding protein 8
15516	-0.758841241	ID:GO:0043226	cellular component	organelle	Hsp90ab1	heat shock protein 90 alpha (cytosolic), class B member 1
53612	-2,916,580,217	ID:GO:0043226	cellular component	organelle	Vti1b	vesicle transport through interaction with t-SNAREs 1B homolog
76485	-0.861013141	ID:GO:0043226	cellular component	organelle	Glt8d1	glycosyltransferase 8 domain containing 1
51786	-2,684,121,211	ID:GO:0043226	cellular component	organelle	Cpsf2	cleavage and polyadenylation specific factor 2
14319	-1,669,659,207	ID:GO:0043226	cellular component	organelle	Fth1	ferritin heavy chain 1
381917	-136,790,207	ID:GO:0043226	cellular component	organelle	Dnahc3	dynein, axonemal, heavy chain 3
106931	-0.599167868	ID:GO:0043226	cellular component	organelle	Kctd1	potassium channel tetramerisation domain containing 1
69089	-0.922586173	ID:GO:0043226	cellular component	organelle	Oxa1l	oxidase assembly 1-like
12317	-1,027,705,564	ID:GO:0043226	cellular component	organelle	Calr	calreticulin
83490	-2,549,074,545	ID:GO:0043226	cellular component	organelle	Pik3ap1	phosphoinositide-3-kinase adaptor protein 1
67883	-2,473,083,939	ID:GO:0043226	cellular component	organelle	Uxs1	UDP-glucuronate decarboxylase 1
18552	-0.775217622	ID:GO:0043226	cellular component	organelle	Pcsk5	proprotein convertase subtilisin/kexin type 5
71562	-2,513,248,527	ID:GO:0043226	cellular component	organelle	Afmid	arylformamidase
21425	-2,215,672,831	ID:GO:0043226	cellular component	organelle	Tfeb	transcription factor EB
13171	-0.70410374	ID:GO:0043226	cellular component	organelle	Dbt	dihydrolipoamide branched chain transacylase E2
208628	-6,497,557,543	ID:GO:0043226	cellular component	organelle	Kntc1	kinetochore associated 1
57813	-2,230,136,014	ID:GO:0043226	cellular component	organelle	Tk2	thymidine kinase 2, mitochondrial
56404	-2,476,877,465	ID:GO:0043226	cellular component	organelle	Trip4	thyroid hormone receptor interactor 4
100503185	-0.840208521	ID:GO:0043226	cellular component	organelle	Btbd8	BTB (POZ) domain containing 8
52683	-0.682639009	ID:GO:0043226	cellular component	organelle	Ncaph2	non-SMC condensin II complex, subunit H2
