Gene Id	Entrenz Id	FC	Replicon	Product	GO
gene12223	109979	-7,944,136,543	NC_000071.6	ADP-ribosyltransferase 3	GO:0044464 GO:0005623 
gene27190	105246866	-6,015,248,541	NC_000077.6	lncRNA	
gene41451	108167336	-6,727,214,128	NC_000084.6	lncRNA	
gene12450	102634124	-565,019,715	NC_000071.6	lncRNA	
gene28278	102635265	-4,541,336,054	NC_000077.6	lncRNA	
gene37399	58239	-3,902,332,872	NC_000082.6	protein_coding	
gene39917	73504	-4,900,164,105	NC_000083.6	lncRNA	
gene27194	18356	-4,264,133,623	NC_000077.6	olfactory receptor 56	GO:0050896 
gene39560	414076	-3,902,900,428	NC_000083.6	lncRNA	
gene11299	75172	-3,498,646,158	NC_000071.6	protein_coding	
gene42589	102639821	-4,761,757,011	NC_000085.6	lncRNA	
gene1038	621875	-3,698,673,123	NC_000067.6	lncRNA	
gene39723	547347	-3,314,538,809	NC_000083.6	protein_coding	
gene8225	105244565	-3,787,411,259	NC_000069.6	lncRNA	
gene8228	102465200	-5,191,549,368	NC_000069.6	miRNA	
gene43475	20964	-4,048,596,075	NC_000086.7	synapsin I	GO:0005515 GO:0005488 GO:0005737 GO:0031982 GO:0031410 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene24473	17281	-4,003,339,669	NC_000075.6	FYVE and coiled-coil domain containing 1	GO:0005488 GO:0000323 GO:0005764 GO:0005773 GO:0005737 GO:0031982 GO:0031410 GO:0005770 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene19424	59052	-361,043,548	NC_000073.6	protein_coding	
gene35715	102632231	-3,236,147,827	NC_000081.6	lncRNA	
gene39613	27632	-4,691,336,429	NC_000083.6	RD RNA-binding protein	GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene18832	102638993	-5,283,121,506	NC_000073.6	lncRNA	
gene29152	58222	-2,830,012,808	NC_000077.6	RAB37, member of RAS oncogene family	GO:0050896 GO:0016787 GO:0016817 GO:0005515 GO:0016462 GO:0016818 GO:0005488 GO:0005737 GO:0031982 GO:0031410 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene42269	100504727	-3,517,901,324	NC_000085.6	misc_RNA	
gene12900	654470	-2,931,357,591	NC_000071.6	tectonic family member 1	GO:0048583 GO:0050896 GO:0005515 GO:0005488 GO:0044421 GO:0005737 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene39735	675325	-3,136,120,255	NC_000083.6	lncRNA	
gene26477	73827	-2,783,745,965	NC_000076.6	protein_coding	
gene1050	109032	-3,474,334,924	NC_000067.6	Sp110 nuclear body protein	GO:0045087 GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0051707 GO:0009607 GO:0050896 GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene27198	102640062	-3,939,986,796	NC_000077.6	lncRNA	
gene30318	102637576	-2,688,266,241	NC_000078.6	lncRNA	
gene39719	77810	-2,352,415,747	NC_000083.6	lncRNA	
gene39537	100502849	-3,252,760,349	NC_000083.6	lncRNA	
