Gene Id	FC	GO	GO term	Category	Gene Name	Product
170758	2,575,087,628	ID:GO:0044237	biological process	cellular metabolic process	Rac3	RAS-related C3 botulinum substrate 3
100705	2,622,290,895	ID:GO:0044237	biological process	cellular metabolic process	Acacb	acetyl-Coenzyme A carboxylase beta
11556	5,663,815,675	ID:GO:0044237	biological process	cellular metabolic process	Adrb3	adrenergic receptor, beta 3
107569	2,317,380,977	ID:GO:0044237	biological process	cellular metabolic process	Nt5c3	5'-nucleotidase, cytosolic III
432442	1,771,167,944	ID:GO:0044237	biological process	cellular metabolic process	Akap7	A kinase (PRKA) anchor protein 7
14359	1,060,461,778	ID:GO:0044237	biological process	cellular metabolic process	Fxr1	fragile X mental retardation gene 1, autosomal homolog
71990	1,675,617,564	ID:GO:0044237	biological process	cellular metabolic process	Ddx54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54
23874	1,371,020,936	ID:GO:0044237	biological process	cellular metabolic process	Farsb	phenylalanyl-tRNA synthetase, beta subunit
56490	1,536,569,356	ID:GO:0044237	biological process	cellular metabolic process	Zbtb20	zinc finger and BTB domain containing 20
13831	1,229,612,743	ID:GO:0044237	biological process	cellular metabolic process	Epc1	enhancer of polycomb homolog 1 (Drosophila)
14158	19,798,456	ID:GO:0044237	biological process	cellular metabolic process	Fert2	fer (fms/fps related) protein kinase, testis specific 2
17717	2,828,082,768	ID:GO:0044237	biological process	cellular metabolic process	ND2	NADH dehydrogenase subunit 2
192231	2,837,842,852	ID:GO:0044237	biological process	cellular metabolic process	Hexim1	hexamethylene bis-acetamide inducible 1
380698	302,085,577	ID:GO:0044237	biological process	cellular metabolic process	Obscn	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
14461	2,802,743,586	ID:GO:0044237	biological process	cellular metabolic process	Gata2	GATA binding protein 2
330962	2,362,974,775	ID:GO:0044237	biological process	cellular metabolic process	Ostb	organic solute transporter beta
17747	1,381,919,811	ID:GO:0044237	biological process	cellular metabolic process	TrnY	tRNA
13058	2,270,238,064	ID:GO:0044237	biological process	cellular metabolic process	Cybb	cytochrome b-245, beta polypeptide
14912	1,842,140,772	ID:GO:0044237	biological process	cellular metabolic process	Nkx6-2	NK6 homeobox 2
434437	2,684,284,771	ID:GO:0044237	biological process	cellular metabolic process	Amt	aminomethyltransferase
68278	2,282,907,433	ID:GO:0044237	biological process	cellular metabolic process	Ddx39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
101831	2,394,856,477	ID:GO:0044237	biological process	cellular metabolic process	C230052I12Rik	RIKEN cDNA C230052I12 gene
67014	1,526,334,615	ID:GO:0044237	biological process	cellular metabolic process	Mina	myc induced nuclear antigen
194655	4,825,997,052	ID:GO:0044237	biological process	cellular metabolic process	Klf11	Kruppel-like factor 11
77622	2,411,251,392	ID:GO:0044237	biological process	cellular metabolic process	Apex2	apurinic/apyrimidinic endonuclease 2
102632	4,023,110,529	ID:GO:0044237	biological process	cellular metabolic process	Acad11	acyl-Coenzyme A dehydrogenase family, member 11
71302	1,978,526,398	ID:GO:0044237	biological process	cellular metabolic process	Arhgap26	Rho GTPase activating protein 26
22084	1,634,283,539	ID:GO:0044237	biological process	cellular metabolic process	Tsc2	tuberous sclerosis 2
244667	2,118,337,592	ID:GO:0044237	biological process	cellular metabolic process	Disc1	disrupted in schizophrenia 1
15369	152,741,664	ID:GO:0044237	biological process	cellular metabolic process	Hmox2	heme oxygenase (decycling) 2
18186	1,898,171,158	ID:GO:0044237	biological process	cellular metabolic process	Nrp1	neuropilin 1
23939	283,547,194	ID:GO:0044237	biological process	cellular metabolic process	Mapk7	mitogen-activated protein kinase 7
20624	215,853,486	ID:GO:0044237	biological process	cellular metabolic process	Eftud2	elongation factor Tu GTP binding domain containing 2
20817	1,528,572,309	ID:GO:0044237	biological process	cellular metabolic process	Srpk2	serine/arginine-rich protein specific kinase 2
236266	1,607,268,696	ID:GO:0044237	biological process	cellular metabolic process	Alms1	Alstrom syndrome 1
17722	1,500,772,886	ID:GO:0044237	biological process	cellular metabolic process	ND6	NADH dehydrogenase subunit 6
271981	2,394,304,901	ID:GO:0044237	biological process	cellular metabolic process	Tbck	TBC1 domain containing kinase
21388	1,327,664,361	ID:GO:0044237	biological process	cellular metabolic process	Tbx5	T-box 5
227331	1,831,007,384	ID:GO:0044237	biological process	cellular metabolic process	Gigyf2	GRB10 interacting GYF protein 2
16162	3,002,203,614	ID:GO:0044237	biological process	cellular metabolic process	Il12rb2	interleukin 12 receptor, beta 2
93757	3,301,857,788	ID:GO:0044237	biological process	cellular metabolic process	Immp2l	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)
94214	2,252,613,547	ID:GO:0044237	biological process	cellular metabolic process	Spock2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2
17711	1,935,298,913	ID:GO:0044237	biological process	cellular metabolic process	CYTB	cytochrome b
67155	1,618,441,018	ID:GO:0044237	biological process	cellular metabolic process	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
56632	1,851,168,921	ID:GO:0044237	biological process	cellular metabolic process	Sphk2	sphingosine kinase 2
238276	1,996,405,237	ID:GO:0044237	biological process	cellular metabolic process	Akap5	A kinase (PRKA) anchor protein 5
17719	2,478,146,253	ID:GO:0044237	biological process	cellular metabolic process	ND4	NADH dehydrogenase subunit 4
105193	2,388,680,672	ID:GO:0044237	biological process	cellular metabolic process	Nhlrc1	NHL repeat containing 1
14456	2,018,623,138	ID:GO:0044237	biological process	cellular metabolic process	Gas6	growth arrest specific 6
20742	1,973,482,062	ID:GO:0044237	biological process	cellular metabolic process	Spnb2	spectrin beta 2
17729	3,350,562,174	ID:GO:0044237	biological process	cellular metabolic process	TrnE	tRNA
242466	3,274,916,902	ID:GO:0044237	biological process	cellular metabolic process	Zfp462	zinc finger protein 462
27207	152,595,837	ID:GO:0044237	biological process	cellular metabolic process	Rps11	ribosomal protein S11
77627	452,098,936	ID:GO:0044237	biological process	cellular metabolic process	Efcab6	EF-hand calcium binding domain 6
56289	1,989,646,883	ID:GO:0044237	biological process	cellular metabolic process	Rassf1	Ras association (RalGDS/AF-6) domain family member 1
67869	1,661,578,101	ID:GO:0044237	biological process	cellular metabolic process	Paip2	polyadenylate-binding protein-interacting protein 2
104570	1,481,212,183	ID:GO:0044237	biological process	cellular metabolic process	Smek2	SMEK homolog 2, suppressor of mek1 (Dictyostelium)
217166	1,833,012,093	ID:GO:0044237	biological process	cellular metabolic process	Nr1d1	nuclear receptor subfamily 1, group D, member 1
